sku;title;variantkey;variant:Storlek;variant:Färg;priceisinclvat;moneyprice;moneypricein;vatid;defaultcategoryid;stockcountenable;stockallowbackorder;barcode;custom1;custom2;custom3;custom4;custom5;descriptionshort;description;manufacturerid
DENIM-PD4696-HW-91562;La Chemise Norrmalm XLÄ;1;38;;true;898;130;2;272;true;true;7333289091562;DENIM PD4696 HW;v21;;;;blå enf (em);denim mörk;73
DENIM-PD4696-HW-91579;La Chemise Norrmalm XLÄ;1;39;;true;898;130;2;272;true;true;7333289091579;DENIM PD4696 HW;v21;;;;blå enf (em);denim mörk;73
DENIM-PD4696-HW-91586;La Chemise Norrmalm XLÄ;1;40;;true;898;130;2;272;true;true;7333289091586;DENIM PD4696 HW;v21;;;;blå enf (em);denim mörk;73
DENIM-PD4696-HW-91593;La Chemise Norrmalm XLÄ;1;41;;true;898;130;2;272;true;true;7333289091593;DENIM PD4696 HW;v21;;;;blå enf (em);denim mörk;73
DENIM-PD4696-HW-91609;La Chemise Norrmalm XLÄ;1;42;;true;898;130;2;272;true;true;7333289091609;DENIM PD4696 HW;v21;;;;blå enf (em);denim mörk;73
DENIM-PD4696-HW-91616;La Chemise Norrmalm XLÄ;1;43;;true;898;130;2;272;true;true;7333289091616;DENIM PD4696 HW;v21;;;;blå enf (em);denim mörk;73
GARMENT-DYE-15000263-91623;La Chemise Norrmalm XLÄ;2;38;;true;898;132;2;272;true;true;7333289091623;GARMENT DYE 15000263;v21;;;;grö enf (em bd);;73
GARMENT-DYE-15000263-91630;La Chemise Norrmalm XLÄ;2;39;;true;898;132;2;272;true;true;7333289091630;GARMENT DYE 15000263;v21;;;;grö enf (em bd);;73
GARMENT-DYE-15000263-91647;La Chemise Norrmalm XLÄ;2;40;;true;898;132;2;272;true;true;7333289091647;GARMENT DYE 15000263;v21;;;;grö enf (em bd);;73
GARMENT-DYE-15000263-91654;La Chemise Norrmalm XLÄ;2;41;;true;898;132;2;272;true;true;7333289091654;GARMENT DYE 15000263;v21;;;;grö enf (em bd);;73
GARMENT-DYE-15000263-91661;La Chemise Norrmalm XLÄ;2;42;;true;898;132;2;272;true;true;7333289091661;GARMENT DYE 15000263;v21;;;;grö enf (em bd);;73
GARMENT-DYE-15000263-91678;La Chemise Norrmalm XLÄ;2;43;;true;898;132;2;272;true;true;7333289091678;GARMENT DYE 15000263;v21;;;;grö enf (em bd);;73
CAZ04041-1-1807326-91685;La Chemise Norrmalm XLÄ;3;38;;true;898;166;2;272;true;true;7333289091685;CAZ04041-1- 1807326-1-RM;v21;;;;blå enf (em);Marinblå jersey;73
CAZ04041-1-1807326-91692;La Chemise Norrmalm XLÄ;3;39;;true;898;166;2;272;true;true;7333289091692;CAZ04041-1- 1807326-1-RM;v21;;;;blå enf (em);Marinblå jersey;73
CAZ04041-1-1807326-91708;La Chemise Norrmalm XLÄ;3;40;;true;898;166;2;272;true;true;7333289091708;CAZ04041-1- 1807326-1-RM;v21;;;;blå enf (em);Marinblå jersey;73
CAZ04041-1-1807326-91715;La Chemise Norrmalm XLÄ;3;41;;true;898;166;2;272;true;true;7333289091715;CAZ04041-1- 1807326-1-RM;v21;;;;blå enf (em);Marinblå jersey;73
CAZ04041-1-1807326-91722;La Chemise Norrmalm XLÄ;3;42;;true;898;166;2;272;true;true;7333289091722;CAZ04041-1- 1807326-1-RM;v21;;;;blå enf (em);Marinblå jersey;73
CAZ04041-1-1807326-91739;La Chemise Norrmalm XLÄ;3;43;;true;898;166;2;272;true;true;7333289091739;CAZ04041-1- 1807326-1-RM;v21;;;;blå enf (em);Marinblå jersey;73
CAZ04041-1-1807326-3-91746;La Chemise Norrmalm XLÄ;4;38;;true;898;166;2;272;true;true;7333289091746;CAZ04041-1-1807326-3-RM;v21;;;;bru enf (em);Brun jersey;73
